feature_id,rep1,rep2,rep3,rep4,rep5,rep6
F0108,71,56,61,50,39,46
F0109,67,47,54,53,45,82
F0110,38,67,45,70,50,35
F0111,62,35,68,58,63,53
F0112,49,32,71,50,39,55
F0113,38,52,40,41,55,43
F0114,41,69,36,39,44,52
F0115,44,52,42,45,56,58
F0116,56,45,46,45,54,53
F0117,32,33,62,37,59,49
F0118,35,73,61,37,45,36
F0119,55,55,51,35,56,75
F0120,54,56,78,41,99,66
F0121,69,32,68,58,45,36
F0122,59,48,27,49,56,55
F0123,58,40,31,60,42,68
F0124,49,53,42,84,68,49
F0125,49,36,39,68,31,66
F0126,42,53,34,40,55,58
F0127,40,61,49,39,52,55
F0128,62,72,62,50,57,43
F0129,80,82,47,40,33,35
F0130,28,55,69,42,49,38
F0131,50,51,42,54,29,49
F0132,42,62,52,65,38,46
F0133,42,34,57,52,41,54
F0134,72,40,32,48,43,26
F0135,53,38,46,38,33,51
F0136,43,59,50,57,58,66
F0137,68,48,55,73,30,48
F0138,58,49,56,59,50,80
F0139,41,47,55,47,51,42
F0140,38,45,32,69,55,45
F0141,37,46,54,53,53,71
F0142,51,33,42,51,44,58
F0143,44,41,56,64,42,53
F0144,65,58,52,34,53,52
F0145,87,30,67,48,58,71
F0146,67,60,46,58,56,56
F0147,33,68,57,45,60,53
F0148,38,39,60,57,57,59
F0149,81,56,53,62,36,51
F0150,55,51,52,50,56,37
F0151,35,45,40,37,41,57
F0152,37,54,38,30,31,44
F0153,36,55,74,35,67,45
F0154,53,57,44,39,64,56
F0155,59,70,39,37,81,42
F0156,29,32,44,45,54,70
F0157,37,37,53,36,28,35
F0158,47,51,53,48,45,29
F0159,38,57,51,43,58,60
F0160,45,64,32,48,55,65
F0161,61,52,56,30,58,48
F0162,48,45,52,67,36,55
F0163,41,52,63,55,55,38
F0164,40,39,51,50,56,35
F0165,52,20,46,46,33,48
F0166,54,84,47,56,59,36
F0167,61,44,50,48,64,36
F0168,24,45,76,61,62,61
F0169,68,41,91,70,80,48
F0170,78,59,55,40,42,53
F0171,54,41,40,45,35,62
F0172,67,68,56,32,51,69
F0173,60,49,57,64,32,40
F0174,48,54,27,39,75,63
F0175,48,52,58,71,41,54
F0176,57,18,54,52,54,51
F0177,55,51,63,37,38,26
F0178,45,65,40,45,50,48
F0179,48,53,53,39,37,41
F0180,42,51,36,83,38,32
F0181,55,46,89,25,59,42
F0182,56,48,56,34,33,51
F0183,41,56,57,48,45,31
F0184,41,49,47,46,48,37
F0185,49,55,59,42,43,60
F0186,66,35,65,46,53,66
F0187,51,49,43,47,67,65
F0188,63,63,45,78,52,65
F0189,32,70,51,50,36,66
F0190,27,47,31,62,54,53
F0191,53,66,46,59,42,58
F0192,32,59,36,50,58,45
F0193,45,44,43,35,37,34
F0194,51,51,49,76,32,56
F0195,84,30,46,70,50,31
F0196,48,61,65,47,50,50
F0197,62,56,50,75,84,52
F0198,60,60,55,58,38,43
F0199,54,33,47,31,42,38
F0200,21,33,45,45,27,26
F0201,62,45,41,52,52,56
F0202,68,60,83,32,38,52
F0203,37,91,29,55,48,51
F0204,65,55,60,56,30,34
F0205,60,42,45,49,47,48
F0206,60,60,58,39,45,37
F0207,45,64,44,29,34,34
F0208,59,65,31,43,35,73
F0209,49,67,42,30,58,65
F0210,49,52,56,46,55,52
F0211,64,62,64,44,71,44
F0212,50,53,44,46,44,47
F0213,55,44,63,36,49,45
F0214,57,53,53,78,56,52
F0215,61,50,49,43,63,42
F0216,36,50,50,73,55,51
F0217,56,51,71,39,45,39
F0218,36,54,37,54,45,57
F0219,53,52,33,47,47,59
F0220,43,50,49,59,69,70
F0221,51,60,25,61,55,47
F0222,64,57,41,47,56,43
F0223,53,50,47,50,45,55
F0224,48,32,35,46,42,59
F0225,55,54,50,40,54,55
F0226,56,50,59,40,43,74
F0227,44,53,60,64,78,65
F0228,55,42,55,44,41,44
F0229,42,28,52,39,58,43
F0230,35,58,53,27,24,37
F0231,59,57,51,53,38,38
F0232,50,43,64,56,44,33
F0233,24,47,49,51,72,70
F0234,39,51,41,47,70,39
F0235,81,46,45,37,46,59
F0236,47,66,37,59,38,54
F0237,48,57,60,40,50,29
F0238,61,62,36,25,39,61
F0239,65,39,40,69,31,49
F0240,61,53,60,64,44,45
F0241,57,59,52,84,38,54
F0242,63,63,31,31,47,62
F0243,55,50,33,52,54,56
F0244,65,42,50,47,45,49
F0245,40,41,43,52,62,60
F0246,32,45,55,39,55,59
F0247,45,40,61,50,39,54
F0248,55,30,56,61,47,35
F0249,41,47,33,44,39,52
F0250,74,43,47,45,54,51
F0251,40,56,31,36,44,48
F0252,39,58,44,41,41,49
F0253,64,77,60,57,52,62
F0254,49,36,53,41,52,49
F0255,47,52,30,70,44,49
F0256,62,51,29,51,38,61
F0257,47,75,65,57,60,32
F0258,50,24,62,47,51,63
F0259,53,58,58,67,47,66
F0260,51,54,57,37,46,65
F0261,43,36,74,32,52,51
F0262,35,31,80,43,64,36
F0263,56,69,31,35,43,50
F0264,48,65,34,61,45,50
F0265,55,40,62,68,51,45
F0266,80,48,47,31,47,57
F0267,77,54,50,57,35,53
F0268,61,55,49,55,51,47
F0269,46,86,36,44,64,45
F0270,39,76,57,50,33,45
F0271,33,52,66,82,43,34
F0272,55,48,55,53,51,57
F0273,35,34,30,43,44,45
F0274,38,47,51,43,63,45
F0275,57,31,43,35,52,32
F0276,49,34,42,50,42,53
F0277,59,62,48,63,46,42
F0278,42,52,49,53,52,30
F0279,67,60,24,45,29,44
F0280,61,33,57,32,47,42
F0281,57,52,34,26,41,57
F0282,56,37,65,48,45,60
F0283,46,41,65,49,53,47
F0284,60,53,38,41,60,38
F0285,48,42,29,59,37,45
F0286,43,26,38,66,34,42
F0287,52,35,52,35,46,53
F0288,60,56,47,42,57,43
F0289,44,43,56,42,44,55
F0290,55,82,66,54,42,66
F0291,54,32,57,43,36,76
F0292,67,41,51,65,43,45
F0293,35,54,64,66,48,40
F0294,50,50,82,37,61,45
F0295,53,42,24,54,55,52
F0296,45,41,50,57,59,35
F0297,52,33,29,52,51,43
F0298,52,56,64,41,38,59
F0299,35,60,62,63,47,27
F0300,64,51,58,47,56,72
