feature_id,rep1,rep2,rep3,rep4,rep5,rep6
F0099,16,27,31,17,17,16
F0100,36,12,21,18,28,23
F0101,20,8,11,9,20,29
F0102,17,14,14,17,18,26
F0103,14,16,14,12,23,17
F0104,11,15,14,28,27,27
F0105,11,34,18,16,12,24
F0106,21,34,9,23,17,22
F0107,10,13,24,9,9,27
F0108,20,20,22,22,24,31
F0109,22,8,13,25,22,21
F0110,11,18,36,25,12,21
F0111,14,16,22,37,19,27
F0112,29,20,46,21,27,15
F0113,23,29,19,23,35,13
F0114,20,27,20,18,3,25
F0115,15,3,6,38,28,17
F0116,21,19,24,24,26,8
F0117,18,8,19,18,6,11
F0118,13,31,14,21,17,12
F0119,29,25,19,31,22,14
F0120,31,17,21,21,9,23
F0121,41,13,19,28,31,24
F0122,22,26,8,18,20,26
F0123,25,23,26,20,31,6
F0124,40,28,5,20,17,21
F0125,11,18,14,21,21,26
F0126,24,16,20,21,27,29
F0127,17,21,13,13,23,14
F0128,19,21,22,24,16,18
F0129,24,15,24,20,29,12
F0130,25,18,24,25,22,36
F0131,17,30,17,25,8,36
F0132,17,22,17,35,19,7
F0133,17,22,29,16,14,31
F0134,20,40,16,25,24,16
F0135,10,13,19,25,14,11
F0136,17,28,35,45,16,18
F0137,18,40,19,11,13,25
F0138,23,16,25,22,15,29
F0139,13,29,26,43,26,7
F0140,19,17,7,28,16,10
F0141,22,15,30,22,6,15
F0142,23,16,18,34,30,18
F0143,16,20,9,13,17,16
F0144,26,16,37,7,13,27
F0145,9,10,13,8,23,23
F0146,22,18,18,10,25,30
F0147,21,17,25,15,23,25
F0148,22,13,32,20,18,21
F0149,41,30,21,12,11,28
F0150,8,10,17,23,17,34
F0151,13,14,9,17,32,32
F0152,27,45,12,44,14,36
F0153,13,20,20,23,32,24
F0154,16,23,23,13,16,22
F0155,36,32,11,17,19,13
F0156,27,12,24,14,12,24
F0157,10,15,25,23,17,21
F0158,11,13,8,11,14,11
F0159,15,11,14,29,13,17
F0160,21,35,19,14,19,16
F0161,41,12,23,13,7,7
F0162,13,30,13,17,28,33
F0163,22,25,19,12,21,11
F0164,17,12,11,25,11,35
F0165,13,17,26,12,13,38
F0166,14,20,23,24,19,21
F0167,17,22,14,28,14,28
F0168,16,38,27,17,7,19
F0169,15,10,9,19,15,22
F0170,29,24,15,10,7,39
F0171,15,34,23,28,7,18
F0172,25,41,25,20,19,20
F0173,25,24,15,21,22,29
F0174,24,24,12,15,12,16
F0175,15,12,32,13,20,16
F0176,19,24,30,19,31,39
F0177,19,9,14,26,28,17
F0178,16,12,13,19,14,16
F0179,16,3,11,29,12,12
F0180,16,13,23,18,6,21
F0181,37,8,15,17,10,29
F0182,15,25,11,42,11,19
F0183,19,28,23,14,21,13
F0184,18,39,22,16,14,11
F0185,32,22,23,19,24,9
F0186,40,14,36,15,30,34
F0187,17,32,23,4,24,10
F0188,16,14,17,17,19,22
F0189,11,16,30,13,26,17
F0190,17,21,12,27,38,35
F0191,17,11,19,10,24,16
F0192,23,20,16,29,17,17
F0193,18,20,15,20,14,28
F0194,26,27,20,20,15,25
F0195,19,26,19,25,15,14
F0196,22,22,15,25,12,13
F0197,16,37,29,10,32,21
F0198,24,17,25,26,18,12
F0199,13,32,10,13,22,23
F0200,12,9,13,16,18,18
F0201,39,16,18,24,21,14
F0202,34,12,11,12,30,22
F0203,28,8,12,19,10,25
F0204,29,25,17,17,13,22
F0205,15,33,21,14,33,22
F0206,23,17,39,25,15,12
F0207,17,25,19,13,24,13
F0208,13,25,7,25,30,13
F0209,27,15,18,11,20,13
F0210,12,12,19,23,12,17
F0211,24,19,19,11,18,23
F0212,6,10,16,15,14,10
F0213,34,17,12,9,19,40
F0214,20,21,20,18,25,10
F0215,20,19,8,14,29,44
F0216,9,19,18,29,25,13
F0217,32,20,16,29,10,22
F0218,21,13,19,17,20,32
F0219,16,19,23,18,18,21
F0220,32,26,30,14,5,9
F0221,35,18,17,19,8,25
F0222,29,14,17,21,25,23
F0223,13,13,21,33,13,19
F0224,19,19,15,12,27,13
F0225,34,16,33,19,23,39
F0226,13,25,10,17,21,15
F0227,18,17,13,13,26,20
F0228,12,14,26,13,18,30
F0229,12,16,22,19,27,18
F0230,22,17,19,22,17,15
F0231,26,12,13,27,20,18
F0232,42,19,13,29,20,28
F0233,22,24,14,20,9,16
F0234,26,23,17,23,33,13
F0235,28,28,14,12,20,26
F0236,8,19,17,21,22,23
F0237,16,14,20,22,10,16
F0238,10,27,23,10,31,21
F0239,19,14,24,26,25,12
F0240,13,12,19,17,16,27
F0241,29,25,45,15,10,18
F0242,16,26,16,23,41,11
F0243,15,17,6,11,14,16
F0244,20,24,13,21,18,12
F0245,14,29,7,23,22,7
F0246,7,26,25,15,23,24
F0247,23,16,12,9,12,18
F0248,20,17,19,20,17,17
F0249,16,25,26,24,25,20
F0250,23,18,25,31,21,14
F0251,20,20,20,25,29,20
F0252,29,9,34,27,15,31
F0253,8,22,12,22,15,32
F0254,29,33,27,24,16,19
F0255,41,11,25,33,30,20
F0256,28,20,52,16,14,14
F0257,15,15,23,17,19,15
F0258,19,13,18,14,19,14
F0259,13,13,11,24,21,17
F0260,23,19,20,9,36,13
F0261,3,13,12,17,9,16
F0262,11,15,8,18,25,13
F0263,28,10,12,19,6,38
F0264,17,17,36,13,24,19
F0265,16,19,12,23,21,10
F0266,36,37,12,10,16,23
F0267,14,31,29,13,19,33
F0268,20,25,11,15,19,26
F0269,14,24,30,22,28,23
F0270,19,25,28,15,10,19
F0271,22,27,28,23,27,36
F0272,10,17,10,29,16,29
F0273,7,14,23,21,20,23
F0274,22,16,32,44,15,13
F0275,29,14,8,10,29,33
F0276,19,34,15,31,37,12
F0277,22,19,23,17,17,17
F0278,19,13,24,15,17,14
F0279,26,19,8,31,21,28
F0280,14,21,25,35,15,13
F0281,11,25,42,16,9,28
F0282,36,19,30,13,36,10
F0283,19,16,10,12,14,18
F0284,26,30,22,16,17,31
F0285,13,16,28,10,22,12
F0286,45,15,17,40,20,14
F0287,16,20,24,9,19,15
F0288,31,14,16,11,19,8
F0289,32,15,28,26,32,22
F0290,29,19,22,15,27,13
F0291,16,31,29,26,11,29
F0292,15,16,10,17,26,12
F0293,30,22,25,13,22,23
F0294,14,27,19,16,17,7
F0295,11,16,17,11,19,12
F0296,13,21,24,14,31,22
F0297,14,20,27,41,22,19
F0298,9,10,16,21,22,14
F0299,23,15,20,16,12,16
F0300,14,13,18,13,15,13
